1,"Khối Tín dụng","Phụ trách thẩm định, xét duyệt và quản lý các khoản vay"
2,"Khối Khách hàng Cá nhân","Phát triển và chăm sóc khách hàng cá nhân"
3,"Khối Khách hàng Doanh nghiệp","Quản lý, hỗ trợ và phát triển khách hàng doanh nghiệp"
4,"Phòng Giao dịch","Xử lý các nghiệp vụ giao dịch tiền mặt và phi tiền mặt tại quầy"
5,"Phòng Kế toán Tài chính","Thực hiện công tác kế toán, lập báo cáo tài chính"
6,"Phòng Nhân sự","Quản lý tuyển dụng, đào tạo, chế độ và phúc lợi nhân viên"
7,"Phòng Công nghệ Thông tin","Xây dựng, bảo trì hệ thống phần mềm và hạ tầng CNTT"
8,"Phòng Quản lý Rủi ro","Giám sát và phân tích các rủi ro tín dụng và hoạt động"
9,"Phòng Pháp chế","Tư vấn và kiểm soát tuân thủ pháp luật trong hoạt động ngân hàng"
10,"Phòng Kiểm toán nội bộ","Thực hiện kiểm tra, đánh giá và giám sát nội bộ"
11,"Phòng Marketing","Xây dựng chiến lược truyền thông và phát triển thương hiệu"
12,"Phòng Hành chính","Phụ trách công tác hành chính, hậu cần và văn thư lưu trữ"
